Date,Daily Max 8-hour CO Concentration,units_CO,Daily Mean PM2.5 Concentration,units_PM,Daily Max 8-hour Ozone Concentration,units_O3
07/14/2019,0.3,ppm,8.6,ug/m3 LC,0.054,ppm
07/15/2019,0.4,ppm,10.5,ug/m3 LC,0.054,ppm
07/16/2019,0.4,ppm,13,ug/m3 LC,0.057,ppm
07/17/2019,0.3,ppm,16.2,ug/m3 LC,0.044,ppm
07/17/2019,0.3,ppm,16.5,ug/m3 LC,0.044,ppm
07/18/2019,0.2,ppm,8,ug/m3 LC,0.045,ppm
07/19/2019,0.3,ppm,7.7,ug/m3 LC,0.047,ppm
07/20/2019,0.3,ppm,8.6,ug/m3 LC,0.047,ppm
07/20/2019,0.3,ppm,7.8,ug/m3 LC,0.047,ppm
07/21/2019,0.3,ppm,7.6,ug/m3 LC,0.041,ppm
07/22/2019,0.2,ppm,6.3,ug/m3 LC,0.041,ppm
07/23/2019,0.2,ppm,4.2,ug/m3 LC,0.03,ppm
07/23/2019,0.2,ppm,6.2,ug/m3 LC,0.03,ppm
07/24/2019,0.2,ppm,8,ug/m3 LC,0.039,ppm
07/25/2019,0.2,ppm,8.2,ug/m3 LC,0.049,ppm
07/26/2019,0.3,ppm,9.6,ug/m3 LC,0.051,ppm
07/26/2019,0.3,ppm,9.8,ug/m3 LC,0.051,ppm
07/27/2019,0.3,ppm,11.2,ug/m3 LC,0.051,ppm
07/28/2019,0.4,ppm,12.5,ug/m3 LC,0.057,ppm
07/29/2019,0.3,ppm,12.8,ug/m3 LC,0.061,ppm
07/29/2019,0.3,ppm,14.4,ug/m3 LC,0.061,ppm
07/30/2019,0.3,ppm,11.8,ug/m3 LC,0.061,ppm
07/31/2019,0.3,ppm,10,ug/m3 LC,0.057,ppm
08/01/2019,0.3,ppm,8.9,ug/m3 LC,0.059,ppm
08/01/2019,0.3,ppm,9.2,ug/m3 LC,0.059,ppm
08/02/2019,0.2,ppm,6,ug/m3 LC,0.05,ppm
08/03/2019,0.3,ppm,5.8,ug/m3 LC,0.034,ppm
08/04/2019,0.4,ppm,8.3,ug/m3 LC,0.045,ppm
08/04/2019,0.4,ppm,8.2,ug/m3 LC,0.045,ppm
08/05/2019,0.3,ppm,6.4,ug/m3 LC,0.038,ppm
08/06/2019,0.3,ppm,5.8,ug/m3 LC,0.051,ppm
08/07/2019,0.3,ppm,11.1,ug/m3 LC,0.048,ppm
08/07/2019,0.3,ppm,9.7,ug/m3 LC,0.048,ppm
08/08/2019,0.4,ppm,6.2,ug/m3 LC,0.054,ppm
08/09/2019,0.5,ppm,8.4,ug/m3 LC,0.061,ppm
08/10/2019,0.5,ppm,10.4,ug/m3 LC,0.055,ppm
08/10/2019,0.5,ppm,9,ug/m3 LC,0.055,ppm
08/11/2019,0.3,ppm,8.6,ug/m3 LC,0.049,ppm
08/12/2019,0.3,ppm,8.9,ug/m3 LC,0.052,ppm
08/13/2019,0.3,ppm,9.3,ug/m3 LC,0.043,ppm
08/13/2019,0.3,ppm,6.5,ug/m3 LC,0.043,ppm
08/14/2019,0.3,ppm,4.8,ug/m3 LC,0.054,ppm
08/15/2019,0.3,ppm,7.9,ug/m3 LC,0.055,ppm
08/16/2019,0.3,ppm,6.3,ug/m3 LC,0.043,ppm
08/16/2019,0.3,ppm,4.5,ug/m3 LC,0.043,ppm
08/17/2019,0.2,ppm,3.7,ug/m3 LC,0.043,ppm
08/18/2019,0.3,ppm,5.3,ug/m3 LC,0.048,ppm
08/19/2019,0.3,ppm,9.9,ug/m3 LC,0.05,ppm
08/19/2019,0.3,ppm,8.5,ug/m3 LC,0.05,ppm
08/19/2019,0.3,ppm,7.6,ug/m3 LC,0.05,ppm
08/20/2019,0.3,ppm,6.8,ug/m3 LC,0.04,ppm
08/21/2019,0.2,ppm,3.5,ug/m3 LC,0.045,ppm
08/22/2019,0.3,ppm,7.8,ug/m3 LC,0.046,ppm
08/22/2019,0.3,ppm,6,ug/m3 LC,0.046,ppm
08/23/2019,0.3,ppm,4,ug/m3 LC,0.041,ppm
08/24/2019,0.2,ppm,2.7,ug/m3 LC,0.025,ppm
08/25/2019,0.2,ppm,5.2,ug/m3 LC,0.036,ppm
08/25/2019,0.2,ppm,5.5,ug/m3 LC,0.036,ppm
08/25/2019,0.2,ppm,2.8,ug/m3 LC,0.036,ppm
08/26/2019,0.2,ppm,1.4,ug/m3 LC,0.027,ppm
08/27/2019,0.2,ppm,2.1,ug/m3 LC,0.032,ppm
08/28/2019,0.3,ppm,5.5,ug/m3 LC,0.04,ppm
08/28/2019,0.3,ppm,3.3,ug/m3 LC,0.04,ppm
08/29/2019,0.3,ppm,3,ug/m3 LC,0.053,ppm
09/03/2019,0.3,ppm,8.1,ug/m3 LC,0.042,ppm
09/03/2019,0.3,ppm,4,ug/m3 LC,0.042,ppm
09/04/2019,0.3,ppm,6.9,ug/m3 LC,0.028,ppm
09/05/2019,0.2,ppm,NA,NA,NA,NA
09/06/2019,0.5,ppm,NA,NA,0.048,ppm
09/07/2019,0.5,ppm,8.7,ug/m3 LC,0.056,ppm
09/07/2019,0.5,ppm,8,ug/m3 LC,0.056,ppm
09/08/2019,0.4,ppm,11.7,ug/m3 LC,0.045,ppm
09/09/2019,0.3,ppm,14.2,ug/m3 LC,0.035,ppm
09/09/2019,0.3,ppm,14.6,ug/m3 LC,0.035,ppm
09/09/2019,0.3,ppm,12.7,ug/m3 LC,0.035,ppm
09/10/2019,0.3,ppm,8.1,ug/m3 LC,0.041,ppm
09/11/2019,0.3,ppm,10,ug/m3 LC,0.056,ppm
09/12/2019,0.4,ppm,15.4,ug/m3 LC,0.062,ppm
09/12/2019,0.4,ppm,15.4,ug/m3 LC,0.062,ppm
09/12/2019,0.4,ppm,13.8,ug/m3 LC,0.062,ppm
09/13/2019,0.4,ppm,9.5,ug/m3 LC,0.043,ppm
09/14/2019,0.3,ppm,4.9,ug/m3 LC,0.035,ppm
09/15/2019,0.4,ppm,9.2,ug/m3 LC,0.034,ppm
09/15/2019,0.4,ppm,7,ug/m3 LC,0.034,ppm
09/16/2019,0.3,ppm,6.3,ug/m3 LC,0.044,ppm
09/17/2019,0.3,ppm,6.8,ug/m3 LC,0.044,ppm
09/18/2019,0.2,ppm,5.1,ug/m3 LC,0.045,ppm
09/18/2019,0.2,ppm,5.2,ug/m3 LC,0.045,ppm
09/18/2019,0.2,ppm,3,ug/m3 LC,0.045,ppm
09/19/2019,0.2,ppm,2.5,ug/m3 LC,0.039,ppm
09/20/2019,0.4,ppm,5.1,ug/m3 LC,0.048,ppm
09/21/2019,0.4,ppm,9.5,ug/m3 LC,0.052,ppm
09/21/2019,0.4,ppm,8.2,ug/m3 LC,0.052,ppm
09/22/2019,0.4,ppm,9.5,ug/m3 LC,0.049,ppm
09/23/2019,0.2,ppm,9.2,ug/m3 LC,0.053,ppm
09/24/2019,0.2,ppm,7.5,ug/m3 LC,0.052,ppm
09/24/2019,0.2,ppm,7.4,ug/m3 LC,0.052,ppm
09/24/2019,0.2,ppm,7.2,ug/m3 LC,0.052,ppm
09/25/2019,0.3,ppm,7.8,ug/m3 LC,0.052,ppm
09/26/2019,0.3,ppm,10.9,ug/m3 LC,0.058,ppm
09/27/2019,0.3,ppm,10.7,ug/m3 LC,0.05,ppm
09/27/2019,0.3,ppm,9.3,ug/m3 LC,0.05,ppm
09/28/2019,0.3,ppm,7.5,ug/m3 LC,0.044,ppm
09/29/2019,0.3,ppm,10.7,ug/m3 LC,0.051,ppm
09/30/2019,0.2,ppm,11.2,ug/m3 LC,0.048,ppm
09/30/2019,0.2,ppm,11.4,ug/m3 LC,0.048,ppm
09/30/2019,0.2,ppm,10.4,ug/m3 LC,0.048,ppm
10/01/2019,0.3,ppm,8.9,ug/m3 LC,0.05,ppm
10/02/2019,0.4,ppm,12.9,ug/m3 LC,0.064,ppm
10/03/2019,0.4,ppm,12.6,ug/m3 LC,0.066,ppm
10/03/2019,0.4,ppm,10.7,ug/m3 LC,0.066,ppm
10/04/2019,0.4,ppm,11.1,ug/m3 LC,0.051,ppm
10/05/2019,0.2,ppm,2.7,ug/m3 LC,0.031,ppm
10/06/2019,0.2,ppm,5.7,ug/m3 LC,0.037,ppm
10/06/2019,0.2,ppm,5.6,ug/m3 LC,0.037,ppm
10/06/2019,0.2,ppm,4,ug/m3 LC,0.037,ppm
10/07/2019,0.2,ppm,2.9,ug/m3 LC,0.039,ppm
10/08/2019,0.2,ppm,2.7,ug/m3 LC,0.03,ppm
10/09/2019,0.2,ppm,4.4,ug/m3 LC,0.031,ppm
10/09/2019,0.2,ppm,2.4,ug/m3 LC,0.031,ppm
10/10/2019,0.3,ppm,3,ug/m3 LC,0.038,ppm
10/11/2019,0.4,ppm,2.5,ug/m3 LC,0.045,ppm
10/12/2019,0.6,ppm,6.7,ug/m3 LC,0.049,ppm
10/12/2019,0.6,ppm,6.9,ug/m3 LC,0.049,ppm
10/12/2019,0.6,ppm,6.3,ug/m3 LC,0.049,ppm
10/13/2019,0.5,ppm,6.6,ug/m3 LC,0.029,ppm
10/14/2019,0.5,ppm,5.5,ug/m3 LC,0.043,ppm
10/15/2019,0.6,ppm,8.7,ug/m3 LC,0.047,ppm
10/15/2019,0.6,ppm,7.4,ug/m3 LC,0.047,ppm
10/16/2019,0.5,ppm,5.5,ug/m3 LC,0.034,ppm
10/17/2019,0.2,ppm,2,ug/m3 LC,0.037,ppm
10/18/2019,0.6,ppm,4.1,ug/m3 LC,0.039,ppm
10/18/2019,0.6,ppm,4.2,ug/m3 LC,0.039,ppm
10/18/2019,0.6,ppm,2.9,ug/m3 LC,0.039,ppm
10/19/2019,0.8,ppm,7,ug/m3 LC,0.038,ppm
10/20/2019,0.2,ppm,NA,NA,0.034,ppm
10/21/2019,0.2,ppm,3.7,ug/m3 LC,0.034,ppm
10/22/2019,0.2,ppm,3.6,ug/m3 LC,0.023,ppm
10/23/2019,0.5,ppm,2.9,ug/m3 LC,0.039,ppm
10/24/2019,0.6,ppm,5.5,ug/m3 LC,0.042,ppm
10/24/2019,0.6,ppm,5.8,ug/m3 LC,0.042,ppm
10/24/2019,0.6,ppm,4.2,ug/m3 LC,0.042,ppm
10/25/2019,0.6,ppm,7.5,ug/m3 LC,0.04,ppm
10/26/2019,0.6,ppm,7.2,ug/m3 LC,0.041,ppm
10/27/2019,0.2,ppm,3.9,ug/m3 LC,0.023,ppm
10/27/2019,0.2,ppm,2.5,ug/m3 LC,0.023,ppm
10/28/2019,0.2,ppm,4.1,ug/m3 LC,0.04,ppm
10/29/2019,0.2,ppm,7,ug/m3 LC,0.028,ppm
10/30/2019,0.2,ppm,6.4,ug/m3 LC,0.02,ppm
10/30/2019,0.2,ppm,6.4,ug/m3 LC,0.02,ppm
10/30/2019,0.2,ppm,5.6,ug/m3 LC,0.02,ppm
10/31/2019,0.2,ppm,1.8,ug/m3 LC,0.026,ppm
11/01/2019,0.3,ppm,2.2,ug/m3 LC,0.03,ppm
11/02/2019,0.4,ppm,6.9,ug/m3 LC,0.036,ppm
11/02/2019,0.4,ppm,6.7,ug/m3 LC,0.036,ppm
11/03/2019,0.4,ppm,4.5,ug/m3 LC,0.036,ppm
11/04/2019,0.7,ppm,7.9,ug/m3 LC,0.033,ppm
11/05/2019,0.7,ppm,9.3,ug/m3 LC,0.036,ppm
11/05/2019,0.7,ppm,9.3,ug/m3 LC,0.036,ppm
11/05/2019,0.7,ppm,8.7,ug/m3 LC,0.036,ppm
11/06/2019,0.8,ppm,11.7,ug/m3 LC,0.036,ppm
11/07/2019,0.5,ppm,9.7,ug/m3 LC,0.037,ppm
11/08/2019,0.3,ppm,3.6,ug/m3 LC,0.033,ppm
11/08/2019,0.3,ppm,4.1,ug/m3 LC,0.033,ppm
11/09/2019,0.8,ppm,7.5,ug/m3 LC,0.034,ppm
11/10/2019,1.2,ppm,11.8,ug/m3 LC,0.037,ppm
11/11/2019,0.5,ppm,10.3,ug/m3 LC,0.038,ppm
11/11/2019,0.5,ppm,10.1,ug/m3 LC,0.038,ppm
11/11/2019,0.5,ppm,9.9,ug/m3 LC,0.038,ppm
11/12/2019,0.3,ppm,5.7,ug/m3 LC,0.031,ppm
11/13/2019,0.4,ppm,3.5,ug/m3 LC,0.035,ppm
11/14/2019,0.5,ppm,8,ug/m3 LC,0.029,ppm
11/14/2019,0.5,ppm,9.2,ug/m3 LC,0.029,ppm
11/15/2019,0.2,ppm,10.5,ug/m3 LC,0.027,ppm
11/16/2019,0.2,ppm,6.9,ug/m3 LC,0.037,ppm
11/17/2019,0.2,ppm,4.2,ug/m3 LC,0.032,ppm
11/17/2019,0.2,ppm,4.2,ug/m3 LC,0.032,ppm
11/17/2019,0.2,ppm,3.4,ug/m3 LC,0.032,ppm
11/18/2019,0.3,ppm,6,ug/m3 LC,0.02,ppm
11/19/2019,0.5,ppm,7.3,ug/m3 LC,0.024,ppm
11/20/2019,0.5,ppm,9.6,ug/m3 LC,0.035,ppm
11/20/2019,0.5,ppm,9.5,ug/m3 LC,0.035,ppm
11/21/2019,0.4,ppm,9.4,ug/m3 LC,0.025,ppm
11/22/2019,0.7,ppm,13.3,ug/m3 LC,0.033,ppm
11/23/2019,0.7,ppm,5.5,ug/m3 LC,0.026,ppm
11/23/2019,0.7,ppm,5.1,ug/m3 LC,0.026,ppm
11/23/2019,0.7,ppm,4.8,ug/m3 LC,0.026,ppm
11/24/2019,0.4,ppm,2.3,ug/m3 LC,0.039,ppm
11/25/2019,0.8,ppm,6.1,ug/m3 LC,0.031,ppm
11/26/2019,1,ppm,11,ug/m3 LC,0.033,ppm
11/26/2019,1,ppm,11.1,ug/m3 LC,0.033,ppm
11/27/2019,0.6,ppm,12.2,ug/m3 LC,0.032,ppm
11/28/2019,0.3,ppm,2.2,ug/m3 LC,0.033,ppm
11/29/2019,0.5,ppm,5.2,ug/m3 LC,0.029,ppm
11/29/2019,0.5,ppm,5.3,ug/m3 LC,0.029,ppm
11/29/2019,0.5,ppm,4.1,ug/m3 LC,0.029,ppm
11/30/2019,0.5,ppm,10.1,ug/m3 LC,0.021,ppm
12/01/2019,0.3,ppm,6.1,ug/m3 LC,0.023,ppm
12/02/2019,0.3,ppm,1.8,ug/m3 LC,0.018,ppm
12/02/2019,0.3,ppm,1.9,ug/m3 LC,0.018,ppm
12/03/2019,0.5,ppm,1.7,ug/m3 LC,0.025,ppm
12/04/2019,0.5,ppm,4.2,ug/m3 LC,0.034,ppm
12/04/2019,0.5,ppm,3.3,ug/m3 LC,0.034,ppm
12/05/2019,1,ppm,5.2,ug/m3 LC,NA,NA
12/05/2019,1,ppm,5.5,ug/m3 LC,NA,NA
12/05/2019,1,ppm,5.6,ug/m3 LC,NA,NA
12/06/2019,1.3,ppm,9.3,ug/m3 LC,0.024,ppm
12/07/2019,0.5,ppm,9.7,ug/m3 LC,0.03,ppm
12/08/2019,0.2,ppm,6.6,ug/m3 LC,0.031,ppm
12/08/2019,0.2,ppm,7.6,ug/m3 LC,0.031,ppm
12/09/2019,0.3,ppm,8.5,ug/m3 LC,0.021,ppm
12/10/2019,0.3,ppm,6.3,ug/m3 LC,0.034,ppm
12/11/2019,0.4,ppm,2.9,ug/m3 LC,0.034,ppm
12/11/2019,0.4,ppm,2.7,ug/m3 LC,0.034,ppm
12/11/2019,0.4,ppm,2.9,ug/m3 LC,0.034,ppm
12/12/2019,0.6,ppm,6.5,ug/m3 LC,0.031,ppm
12/13/2019,0.3,ppm,5.4,ug/m3 LC,0.019,ppm
12/14/2019,0.3,ppm,1.7,ug/m3 LC,0.025,ppm
12/14/2019,0.3,ppm,1.3,ug/m3 LC,0.025,ppm
12/15/2019,0.6,ppm,5.1,ug/m3 LC,0.033,ppm
12/16/2019,0.7,ppm,10.7,ug/m3 LC,0.033,ppm
12/17/2019,0.3,ppm,3.6,ug/m3 LC,0.026,ppm
12/17/2019,0.3,ppm,4,ug/m3 LC,0.026,ppm
12/17/2019,0.3,ppm,2.2,ug/m3 LC,0.026,ppm
12/18/2019,0.2,ppm,2.3,ug/m3 LC,0.037,ppm
12/19/2019,0.7,ppm,7.5,ug/m3 LC,0.032,ppm
12/20/2019,1,ppm,8.7,ug/m3 LC,0.031,ppm
12/20/2019,1,ppm,9.9,ug/m3 LC,0.031,ppm
12/21/2019,0.7,ppm,12.8,ug/m3 LC,0.027,ppm
12/22/2019,0.9,ppm,21.3,ug/m3 LC,0.02,ppm
12/23/2019,0.3,ppm,10.2,ug/m3 LC,0.024,ppm
12/23/2019,0.3,ppm,10.5,ug/m3 LC,0.024,ppm
12/23/2019,0.3,ppm,11.7,ug/m3 LC,0.024,ppm
12/24/2019,0.3,ppm,3.3,ug/m3 LC,0.037,ppm
12/25/2019,0.6,ppm,9.4,ug/m3 LC,0.031,ppm
12/26/2019,0.8,ppm,11.5,ug/m3 LC,0.028,ppm
12/26/2019,0.8,ppm,11.5,ug/m3 LC,0.028,ppm
12/27/2019,1,ppm,11.3,ug/m3 LC,0.021,ppm
12/28/2019,1.2,ppm,9.5,ug/m3 LC,0.031,ppm
12/29/2019,0.8,ppm,8,ug/m3 LC,0.029,ppm
12/29/2019,0.8,ppm,8.2,ug/m3 LC,0.029,ppm
12/29/2019,0.8,ppm,7.4,ug/m3 LC,0.029,ppm
12/30/2019,0.2,ppm,2.2,ug/m3 LC,0.036,ppm
12/31/2019,0.2,ppm,3.4,ug/m3 LC,NA,NA
08/31/2019,NA,NA,8.4,ug/m3 LC,0.056,ppm
08/31/2019,NA,NA,8.7,ug/m3 LC,0.056,ppm
08/30/2019,NA,NA,3.9,ug/m3 LC,0.064,ppm
08/31/2019,NA,NA,6.2,ug/m3 LC,0.056,ppm
09/01/2019,NA,NA,5.8,ug/m3 LC,0.043,ppm
09/02/2019,NA,NA,3.2,ug/m3 LC,0.034,ppm
